codbar,neighborhood,district,priority_score,base_rank,expected_priority_score,priority_score_p05,priority_score_p95,expected_rank,rank_p05,rank_p50,rank_p95,rank_interval_width,top_1_probability,top_5_probability,top_10_probability
152,TORREFIEL,RASCANYA,0.3367749485809769,59,0.33647567606928874,0.2817817550241293,0.3860874583848174,58.5818,55.0,60.0,60.0,5.0,0.0,0.0,0.0
34,ARRANCAPINS,EXTRAMURS,0.33672365065090604,60,0.3364070517041381,0.27840922355409287,0.3940030497356024,58.9781,57.0,59.0,61.0,4.0,0.0,0.0,0.0
22,EL PLA DEL REMEI,L'EIXAMPLE,0.33526357545158636,61,0.3349977581066523,0.28165525509063044,0.3837416735835817,58.6623,53.0,61.0,61.0,8.0,0.0,0.0,0.0
61,EXPOSICIO,EL PLA DEL REAL,0.3096371888601783,62,0.309430789516731,0.26063561681694947,0.3557178449496031,61.7799,56.0,62.0,65.0,9.0,0.0,0.0,0.0
62,MESTALLA,EL PLA DEL REAL,0.30864651913241214,63,0.30838173091723714,0.25930113398939314,0.3560958107411111,62.4072,61.0,62.0,63.0,2.0,0.0,0.0,0.0
21,RUSSAFA,L'EIXAMPLE,0.2865799211659831,64,0.2863827501037813,0.24386336580167953,0.3275280987003201,64.7583,63.0,64.0,69.0,6.0,0.0,0.0,0.0
13,EL CARME,CIUTAT VELLA,0.2762832869020891,65,0.2760767094737188,0.2349887670860954,0.3133852452278217,66.293,65.0,66.0,68.0,3.0,0.0,0.0,0.0
141,BENIMACLET,BENIMACLET,0.2761898898872005,66,0.27595484778376755,0.2313442480358893,0.3166451054641725,66.0472,65.0,66.0,67.0,2.0,0.0,0.0,0.0
64,CIUTAT UNIVERSITARIA,EL PLA DEL REAL,0.27523488323877987,67,0.27504603577132847,0.23062143821123005,0.31703865909580725,65.8296,62.0,66.0,68.0,6.0,0.0,0.0,0.0
16,SANT FRANCESC,CIUTAT VELLA,0.2620229805834408,68,0.261821582295532,0.21620183359551753,0.30572216201455166,67.9132,65.0,68.0,69.0,4.0,0.0,0.0,0.0
41,CAMPANAR,CAMPANAR,0.2551867773386812,69,0.2549220175643971,0.1886475999617737,0.32673400647239265,67.7519,63.0,69.0,70.0,7.0,0.0,0.0,0.0
15,EL MERCAT,CIUTAT VELLA,0.22029590740961702,70,0.22017531349857933,0.15697722421235438,0.286906680249429,69.3202,67.0,70.0,70.0,3.0,0.0,0.0,0.0
