codbar,neighborhood,district,priority_score,priority_z_score,spatial_lag_z_score,spatial_quadrant,knn_neighbors
11,LA SEU,CIUTAT VELLA,0.3585984937790919,-0.8303433544198073,-1.3518033959907716,low-low,5
12,LA XEREA,CIUTAT VELLA,0.3787036705735161,-0.652197734857965,-1.374698279624227,low-low,5
13,EL CARME,CIUTAT VELLA,0.2762832869020891,-1.5597123959560013,-0.9877452812561104,low-low,5
14,EL PILAR,CIUTAT VELLA,0.3614316663641971,-0.8052395072534814,-1.3815077648280218,low-low,5
15,EL MERCAT,CIUTAT VELLA,0.22029590740961702,-2.055798877030692,-1.1313958908725799,low-low,5
16,SANT FRANCESC,CIUTAT VELLA,0.2620229805834408,-1.686068464855718,-0.9581852574732239,low-low,5
21,RUSSAFA,L'EIXAMPLE,0.2865799211659831,-1.4684771728540686,0.05918694739147659,low-high,5
22,EL PLA DEL REMEI,L'EIXAMPLE,0.33526357545158636,-1.037106693304315,-1.0356974225203053,low-low,5
23,LA GRAN VIA,L'EIXAMPLE,0.4181027562493339,-0.30309488440030563,-0.977807359643065,low-low,5
31,EL BOTANIC,EXTRAMURS,0.364774949475561,-0.7756157318778905,-1.0429955371489965,low-low,5
32,LA ROQUETA,EXTRAMURS,0.42515767537879706,-0.24058347491966584,-1.40795069005042,low-low,5
33,LA PETXINA,EXTRAMURS,0.41591296082578755,-0.32249796980612716,-1.0483775491299987,low-low,5
34,ARRANCAPINS,EXTRAMURS,0.33672365065090604,-1.0241694282581395,-0.6026928417743542,low-low,5
41,CAMPANAR,CAMPANAR,0.2551867773386812,-1.746641901982922,0.08743859421817998,low-high,5
42,LES TENDETES,CAMPANAR,0.3990710370117084,-0.471728935698681,-0.4149868842686431,low-low,5
43,EL CALVARI,CAMPANAR,0.6135850789789661,1.4290122167775485,-0.5301930539122336,high-low,5
44,SANT PAU,CAMPANAR,0.4203473820617095,-0.2832059642421375,0.2602196117119665,low-high,5
51,MARXALENES,LA SAÏDIA,0.5175440939666827,0.5780233916960501,-0.08340947532019488,high-low,5
52,MORVEDRE,LA SAÏDIA,0.4894470878173824,0.32906469715285475,-0.28690053483197664,high-low,5
53,TRINITAT,LA SAÏDIA,0.44935727944371934,-0.02615842890403213,-0.3413210288226851,low-low,5
54,TORMOS,LA SAÏDIA,0.43609368386054675,-0.14368295887669522,-0.17426560449515788,low-low,5
55,SANT ANTONI,LA SAÏDIA,0.42037375498295687,-0.28297228211920444,-0.026930969772237717,low-low,5
61,EXPOSICIO,EL PLA DEL REAL,0.3096371888601783,-1.2641740085106035,-0.6356980699080725,low-low,5
62,MESTALLA,EL PLA DEL REAL,0.30864651913241214,-1.2729520199769346,-0.028309942000446925,low-low,5
63,JAUME ROIG,EL PLA DEL REAL,0.49088660496334574,0.34181980378333493,-0.8181619334487393,high-low,5
64,CIUTAT UNIVERSITARIA,EL PLA DEL REAL,0.27523488323877987,-1.5690019695847655,-0.805277676160661,low-low,5
71,NOU MOLES,L'OLIVERETA,0.4682685395957904,0.1414082724949927,0.35051337902382906,high-high,5
72,SOTERNES,L'OLIVERETA,0.5890927675876523,1.2119935836204792,0.2842906075548572,high-high,5
73,TRES FORQUES,L'OLIVERETA,0.5104167801259838,0.5148705155514781,0.43459730327584634,high-high,5
74,LA FONTSANTA,L'OLIVERETA,0.5317585906501202,0.7039735558912245,0.3858946131007081,high-high,5
75,LA LLUM,L'OLIVERETA,0.40601697195336084,-0.4101832006738542,0.6087259644137238,low-high,5
81,PATRAIX,PATRAIX,0.412157627704386,-0.35577279013790936,0.1460358592476444,low-high,5
82,SANT ISIDRE,PATRAIX,0.46396853302486896,0.10330727281071048,0.5448516717854973,high-high,5
83,VARA DE QUART,PATRAIX,0.5055089625418495,0.4713838945104446,0.21795764492295888,high-high,5
84,SAFRANAR,PATRAIX,0.4723779072575205,0.1778200810352355,0.28145659419292324,high-high,5
85,FAVARA,PATRAIX,0.4889003734660344,0.3242204340140569,0.5741106730133478,high-high,5
91,LA RAIOSA,JESUS,0.535535289805034,0.7374376938955909,0.15925330658864204,high-high,5
92,L'HORT DE SENABRE,JESUS,0.5498351412614618,0.8641441597673134,0.8078309746602285,high-high,5
93,LA CREU COBERTA,JESUS,0.5637956884316158,0.9878441575578887,0.6581419554576318,high-high,5
94,SANT MARCEL.LI,JESUS,0.5767877599111328,1.1029627982331696,0.6649686464635445,high-high,5
95,CAMI REAL,JESUS,0.5523795982896584,0.8866897896004358,0.6764957644766278,high-high,5
101,MONT-OLIVET,QUATRE CARRERES,0.5172669326433031,0.5755675527757121,-0.09400672687945871,high-low,5
102,EN CORTS,QUATRE CARRERES,0.5991550441087121,1.3011522368059572,-0.23912366368550775,high-low,5
103,MALILLA,QUATRE CARRERES,0.48187205124974336,0.2619446913780279,1.0465737995407174,high-high,5
104,LA FONTETA S.LLUIS,QUATRE CARRERES,0.560707036476462,0.9604765884095113,0.7713618995161909,high-high,5
105,NA ROVELLA,QUATRE CARRERES,0.5516734933365366,0.8804332166970599,0.09773443489823513,high-high,5
106,LA PUNTA,QUATRE CARRERES,0.7111299367617229,2.2933263833458457,0.1675994206134789,high-high,5
107,CIUTAT DE LES ARTS I DE LES CIENCIES,QUATRE CARRERES,0.35298903113658087,-0.8800470306459363,0.5184773649556507,low-high,5
111,EL GRAU,POBLATS MARÍTIMS,0.8459693371159347,3.4880957088317164,0.44500326379437416,high-high,5
112,CABANYAL-CANYAMELAR,POBLATS MARÍTIMS,0.3701314592768349,-0.7281533908602447,0.16732717592101898,low-high,5
113,LA MALVA-ROSA,POBLATS MARÍTIMS,0.4563497403606949,0.03579955808875323,-0.19947425947125133,high-low,5
114,BETERO,POBLATS MARÍTIMS,0.5144731691812742,0.5508128973980774,-0.2317287509165079,high-low,5
