budget,candidate_pool_size,baseline_underserved_points,baseline_weighted_distance_gap_m,selected_candidates,underserved_points_remaining,underserved_points_covered,underserved_reduction_share,weighted_gap_reduction_m,weighted_gap_reduction_share
0,648,648,856160.0328227562,0,648,0,0.0,0.0,0.0
5,648,648,856160.0328227562,5,607,41,0.06327160493827161,489965.36362040375,0.5722824528552096
10,648,648,856160.0328227562,10,567,81,0.125,563779.0194221127,0.6584972409461063
15,648,648,856160.0328227562,15,523,125,0.19290123456790123,595284.9957074393,0.6952964082483353
25,648,648,856160.0328227562,25,469,179,0.2762345679012346,608201.0460535821,0.7103824317147177
